file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment
HFC_01.wav,90.534,91.01,82.62,107.165,81.747,25.418,30.605,52.801,51.48,4.19,12.28675004137034,243.806,324.639,857.101,255.869,1.313,32.537,8.761,3.714,13.1,295.053,1078.613,1566.909,2110.473,2808.903,3384.201,617.83,28.325,-1.307,
HFC_02.wav,87.369,103.63,88.04,106.032,74.782,31.249,8.847,82.126,66.177,3.008,21.997715589248426,331.176,345.222,374.291,330.363,1.163,42.034,7.736,5.434,20.38,338.891,854.421,1465.29,2031.797,2687.872,3272.205,586.663,29.83,-0.912,
HFC_03.wav,95.504,96.22,88.41,108.589,80.325,28.265,49.453,65.676,63.196,4.16,15.190240116775705,251.311,346.731,532.872,345.333,0.961,58.329,14.561,4.006,7.51,349.863,1226.159,1788.691,2207.309,2908.66,3460.643,622.156,28.128,0.18,
HFC_04.wav,96.703,93.02,107.82,108.693,83.524,25.169,92.69,111.255,96.724,4.648,20.80770920332942,322.705,376.765,894.611,336.361,0.645,58.976,8.522,6.92,12.16,344.51,944.418,1777.222,2201.052,2962.693,3392.456,609.589,28.708,-1.733,'
HFC_05.wav,89.9,88.65,91.95,94.965,85.158,9.808,81.714,41.734,30.607,3.674,8.331264979390873,300.788,400.472,1017.969,369.542,0.544,58.358,10.103,5.776,7.7,348.188,1080.485,1612.443,2132.237,2794.111,3302.706,590.904,29.616,-1.324,
HFC_06.wav,77.178,93.37,84.94,93.37,70.735,22.636,2.352,79.872,75.957,3.254,23.34267496927805,301.765,427.991,1511.385,334.276,0.615,38.059,7.322,5.198,6.71,401.179,927.42,1577.892,2178.958,2819.921,3343.35,588.434,29.74,-1.44,
HFC_07.wav,79.803,81.78,79.07,87.325,71.147,16.178,28.318,52.497,50.732,4.79,10.59189974503942,343.652,437.154,1917.351,338.535,0.94,16.247,9.579,1.696,10.3,352.937,1128.674,1785.182,2260.824,2932.179,3313.663,592.145,29.554,-2.921,
HFC_08.wav,86.081,103.45,87.51,104.955,79.352,25.604,4.593,63.64,61.982,6.079,10.195333186440704,273.193,374.105,720.73,350.467,1.234,46.047,12.969,3.55,5.07,351.118,970.518,1609.665,2053.29,2702.338,3330.56,595.888,29.368,-0.538,
HFC_09.wav,78.957,85.61,81.0,93.555,70.822,22.733,22.941,44.753,43.559,2.827,15.40850751929385,289.369,483.985,4472.441,279.18,1.238,29.411,12.923,2.276,11.88,317.37,1016.76,1588.033,2169.838,2825.867,3382.872,613.1,28.543,-3.353,
HFC_10.wav,86.811,103.05,86.81,105.618,74.752,30.866,4.664,76.868,74.269,4.668,15.9117886736452,268.178,359.058,526.657,360.862,1.071,33.991,11.669,2.913,15.0,340.099,943.85,1582.02,2100.1,2810.714,3323.849,596.75,29.326,-0.011,
HFC_11.wav,92.256,79.26,82.83,107.541,79.26,28.281,49.681,71.34,68.915,1.485,46.39235026059236,322.194,371.892,631.123,335.601,1.01,78.867,5.447,14.48,15.17,335.021,1029.945,1652.682,2179.583,2882.033,3386.161,610.228,28.678,-0.41,
HFC_12.wav,91.98,85.77,84.09,105.496,83.307,22.19,28.631,70.996,51.115,1.499,34.109918917542416,349.717,488.802,2232.689,355.419,1.001,42.201,3.497,12.069,19.71,336.91,1002.559,1779.451,2157.744,2904.817,3308.284,594.275,29.448,-2.745,
HFC_13.wav,96.045,97.32,91.52,107.836,86.669,21.167,15.978,30.552,29.198,3.35,8.71666360155777,379.019,393.137,426.393,377.787,1.94,39.723,6.699,5.929,24.4,375.059,826.004,1607.786,2357.755,2923.085,3456.773,616.343,28.393,-0.754,
HFC_14.wav,96.014,99.72,85.73,106.134,83.036,23.099,7.126,40.113,38.494,3.944,9.759867662420731,357.608,437.471,990.45,371.223,1.014,35.699,7.888,4.526,14.96,384.361,919.424,1594.284,2082.845,2773.086,3320.611,587.25,29.8,-0.758,
HFC_15.wav,92.317,99.97,88.86,100.017,88.225,11.792,14.156,64.847,38.301,5.694,6.726114698517803,342.16,358.374,387.512,347.806,0.615,71.735,7.321,9.798,16.78,347.716,871.612,1710.908,2270.798,2966.024,3415.114,613.48,28.526,-0.121,
LFC_01.wav,85.761,101.56,88.1,105.519,73.266,32.253,8.513,105.883,99.938,5.024,19.890243280840554,255.071,356.339,615.735,350.873,0.597,34.236,8.374,4.088,10.67,351.933,1086.883,1644.139,2328.294,3013.719,3568.3,643.273,27.205,0.064,
LFC_02.wav,91.234,90.38,86.39,104.536,84.795,19.742,23.134,73.272,69.309,6.115,11.3345497725848,273.014,349.775,549.767,333.122,0.654,70.126,6.115,11.468,13.02,334.812,868.629,1632.107,2144.032,2936.474,3477.518,628.541,27.842,0.548,
LFC_03.wav,98.562,96.17,97.01,100.514,95.743,4.771,67.878,25.378,23.041,2.68,8.598140085850858,287.26,474.313,3261.021,298.046,0.373,36.538,5.359,6.817,8.53,365.901,1032.838,1684.174,2177.509,2973.206,3418.992,610.618,28.659,-2.867,
