file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,
HFC_22.wav,96.149,106.04,80.61,106.042,80.605,25.437,2.241,122.484,115.302,5.878,19.6157756367783,307.336,497.751,2609.342,325.073,0.680,61.777,9.552,6.468,6.80,356.429,1193.876,1917.503,2344.079,3049.937,3444.774,617.669,28.332,-2.296,,
HFC_23.wav,85.178,95.13,88.50,95.130,70.705,24.425,1.995,81.014,74.381,2.649,28.083342827846607,275.706,317.495,689.105,274.645,0.755,33.141,4.635,7.150,16.09,299.574,962.796,1652.688,2240.641,2870.150,3342.926,608.670,28.751,-1.209,,
HFC_24.wav,81.480,71.42,72.14,86.211,71.418,14.793,73.517,32.987,12.112,0,--undefined--,428.387,2682.261,8832.809,314.411,1.212,84.055,8.253,10.185,0.46,340.548,1107.964,1662.950,2236.365,2944.583,3427.378,617.366,28.346,-5.554,,
HFC_25.wav,90.035,91.26,78.92,107.102,75.055,32.047,30.588,71.037,55.735,2.749,20.27453320458084,303.328,359.056,591.362,335.992,2.546,50.675,11.192,4.528,13.26,335.066,1239.266,1802.411,2342.858,2949.858,3447.557,622.498,28.113,-0.015,,
HFC_26.wav,91.794,88.98,90.37,96.313,88.432,7.881,82.953,27.568,24.566,5.266,4.664614300934392,370.568,579.543,1784.824,370.982,0.760,43.611,7.241,6.023,14.58,376.498,1117.664,1706.154,2072.922,2783.705,3248.336,574.368,30.468,-2.140,,
HFC_27.wav,86.806,85.79,82.47,90.405,82.100,8.304,62.360,30.217,29.047,4.556,6.3761532037092445,262.241,363.037,2325.209,255.406,0.768,57.470,5.206,11.039,15.13,290.999,892.749,1677.961,2212.012,3024.563,3461.843,634.169,27.595,-3.881,,
HFC_28.wav,91.678,101.27,83.91,108.000,82.611,25.389,11.743,61.634,58.536,2.795,20.945020352760352,325.871,355.221,381.022,347.885,0.716,51.322,6.288,8.162,22.26,348.612,847.178,1653.603,2251.463,2881.438,3306.267,591.531,29.584,-0.902,,
HFC_29.wav,96.737,83.07,84.97,108.114,83.067,25.047,68.346,123.834,23.504,0,--undefined--,311.971,335.715,388.282,328.490,1.010,58.080,7.427,7.820,18.78,346.278,991.559,1715.799,2264.416,2929.213,3417.606,614.265,28.489,0.030,,
HFC_30.wav,93.222,108.65,87.65,109.103,85.403,23.700,24.612,41.963,26.889,1.991,13.504992565308772,363.472,698.256,3491.010,358.761,1.256,56.558,7.566,7.475,17.01,355.862,1166.244,1803.402,2306.661,2926.993,3319.599,592.747,29.524,-2.461,,
HFC_31.wav,90.187,95.81,83.20,108.648,71.388,37.259,15.637,186.793,169.894,4.968,34.19570135910128,349.394,641.247,2424.923,381.935,1.308,56.483,11.465,4.926,3.95,372.572,1159.498,1778.557,2235.337,2841.575,3249.779,575.442,30.411,-1.784,,
HFC_32.wav,85.946,80.44,90.63,98.896,79.824,19.071,79.630,65.436,53.234,3.674,14.49017431469585,283.128,331.400,371.722,339.360,0.544,58.999,6.429,9.177,12.12,333.816,975.857,1671.829,2261.710,2929.527,3341.389,601.515,29.093,-0.405,,
