file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,Duration(s),Start
HFC_01.wav,87.874,89.24,83.27,104.839,70.883,33.956,34.661,114.002,104.558,3.603,29.016342861064697,344.450,583.839,1678.162,348.923,1.526,50.040,10.155,4.928,13.32,432.251,1015.449,1646.542,2108.337,2818.751,3247.307,563.011,31.083,-1.284,,1.526,18:30:00
HFC_02.wav,81.513,101.73,92.34,103.107,71.623,31.484,10.028,60.398,41.219,3.551,11.607579579961463,555.419,1014.396,1683.194,291.267,1.971,38.522,9.892,3.894,11.24,465.467,1133.280,1660.303,2176.655,2779.157,3338.091,574.525,30.460,-0.853,,1.971,18:30:02
HFC_03.wav,95.695,78.74,85.01,106.797,78.744,28.053,51.546,89.472,77.184,2.389,32.304804372723176,344.375,719.406,1857.846,333.947,1.256,63.673,7.566,8.416,9.39,368.046,1166.575,1707.676,2171.158,2763.665,3205.888,567.568,30.833,-1.491,,1.256,18:30:05
HFC_04.wav,96.257,80.43,97.39,109.010,75.145,33.865,69.087,63.428,52.330,2.071,25.271779098916003,359.063,509.316,1658.453,349.840,2.415,47.176,8.490,5.557,10.73,375.061,1089.856,1707.028,2106.974,2736.584,3228.907,570.769,30.660,-1.353,,2.415,18:30:07
HFC_05.wav,89.909,85.45,85.64,92.981,84.898,8.083,46.000,32.588,9.807,1.383,7.0897791560665455,288.703,538.222,1268.518,270.346,1.084,60.430,7.377,8.191,9.59,396.710,979.614,1578.964,2123.504,2799.170,3312.204,583.099,30.012,-1.232,,1.084,18:30:21
HFC_06.wav,90.603,93.25,84.61,107.207,79.341,27.866,13.577,87.245,74.272,4.177,17.78192738757315,330.898,717.726,1677.826,362.768,1.796,47.333,6.961,6.799,13.29,394.473,1049.382,1627.513,2186.657,2781.620,3243.604,569.826,30.711,-1.100,,1.796,18:30:23
HFC_07.wav,84.669,99.18,97.99,105.325,72.113,33.213,10.728,84.841,67.752,3.900,17.371181663150864,327.467,656.132,1103.239,363.574,1.282,60.413,8.191,7.376,12.39,374.236,997.063,1531.249,2055.568,2664.908,3201.178,565.388,30.952,-1.232,,1.282,18:30:26
HFC_08.wav,90.409,98.05,100.78,109.206,75.030,34.176,10.857,87.094,84.133,5.030,16.727111174802864,306.966,686.103,1561.434,351.346,1.392,38.066,8.263,4.607,11.41,350.909,1043.720,1678.668,2034.068,2713.680,3208.670,571.552,30.618,-1.094,,1.392,18:30:38
HFC_09.wav,88.791,106.29,86.39,106.291,79.205,27.085,11.449,104.219,82.598,5.031,16.417185004940283,317.869,427.759,1174.487,375.389,1.093,70.604,7.776,9.080,12.66,351.109,1005.120,1557.732,2046.553,2703.508,3249.656,579.709,30.188,-1.630,,1.093,18:30:41
HFC_10.wav,86.076,97.93,77.87,101.180,74.957,26.223,35.573,67.131,20.976,0.973,21.5496386295131,301.746,410.861,1227.913,302.332,1.541,57.655,7.463,7.726,17.03,321.703,994.690,1668.582,2131.902,2700.814,3224.145,580.488,30.147,-1.468,,1.541,18:30:43
HFC_100.wav,85.840,102.32,75.98,103.999,72.298,31.701,11.021,104.081,66.735,4.039,16.524226579846154,295.360,578.410,1193.304,284.251,1.238,64.895,7.673,8.457,11.69,376.971,962.636,1592.251,2043.718,2736.911,3234.279,571.462,30.623,-0.946,,1.238,18:39:26
