file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment
HFC_29.wav,90.453,96.43,98.69,103.086,81.342,21.744,38.573,62.014,50.420,2.754,18.305073134602047,299.779,378.054,1864.093,300.076,1.271,64.148,8.657,7.410,15.17,347.769,963.284,1613.834,2302.592,2927.349,3408.283,612.103,28.590,-2.691,
HFC_3.wav,99.736,70.66,72.17,109.969,70.652,39.317,41.120,66.373,28.838,6.394,4.510369372192967,214.450,312.659,399.945,223.433,1.408,32.482,6.394,5.080,21.38,292.043,958.767,1538.637,2084.152,2792.579,3267.305,595.052,29.409,-0.388,unvoiced
HFC_30.wav,91.776,102.53,82.16,107.989,80.745,27.244,14.848,72.983,69.328,3.313,20.9243159642291,377.116,1198.911,3242.842,248.740,0.905,41.693,7.179,5.808,7.97,383.933,1094.123,1625.856,2214.413,2911.217,3345.134,592.240,29.549,-1.570,
HFC_31.wav,91.348,78.42,93.71,104.497,78.128,26.368,21.387,57.563,56.447,2.527,22.333891387275067,302.608,440.921,3222.156,303.176,1.583,59.235,7.898,7.500,13.32,375.810,1065.849,1646.497,2237.108,2943.919,3411.638,607.166,28.822,-2.847,
HFC_32.wav,85.568,90.65,92.65,108.975,71.181,37.794,22.612,52.410,32.526,1.314,24.748923086520392,339.049,765.290,2007.189,302.722,1.902,52.408,7.097,7.385,13.07,413.589,1034.756,1703.227,2212.257,2885.741,3343.971,586.076,29.860,-1.195,
HFC_33.wav,89.368,72.34,84.12,109.764,72.286,37.477,34.194,229.816,78.856,21.905,3.5999782607523976,284.839,373.183,656.906,343.394,1.118,49.670,7.600,6.536,17.20,316.411,1091.267,1688.165,2168.585,2862.002,3291.672,595.052,29.409,-0.899,unvoiced
HFC_34.wav,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,0.000,0.000,--undefined--,694.757,3026.319,7842.271,281.487,2.047,75.935,8.550,8.881,1.02,389.592,1095.035,1744.844,2268.465,2838.258,3321.989,586.479,29.839,-3.403,
HFC_35.wav,86.429,72.41,80.93,109.939,71.461,38.478,27.683,308.514,172.193,43.136,3.9918266407976386,223.398,293.374,408.794,225.665,1.240,42.109,5.241,8.035,18.52,294.507,915.692,1573.615,2109.102,2856.387,3310.046,603.108,29.016,-0.421,unvoiced
HFC_4.wav,85.213,104.57,93.73,104.565,72.653,31.913,21.697,58.579,26.898,0.738,36.43022511805992,278.799,521.980,4227.126,319.667,2.032,64.663,11.567,5.590,9.68,330.537,1066.175,1744.959,2272.525,3062.105,3511.691,636.231,27.506,-2.811,
HFC_5.wav,91.111,87.95,96.67,102.831,72.838,29.993,83.661,43.225,25.350,1.722,14.723481892551982,276.098,341.353,1003.625,296.371,1.742,75.393,9.183,8.210,13.63,333.494,1072.317,1715.191,2294.311,2966.385,3477.744,628.850,27.829,-1.644,
HFC_6.wav,84.681,73.12,78.80,104.866,73.118,31.748,45.867,123.677,45.635,1.348,33.85552971314317,218.963,290.164,430.161,326.146,1.484,59.050,5.392,10.952,20.14,321.597,1025.310,1662.995,2114.621,2882.277,3289.629,593.606,29.481,-0.095,
HFC_7.wav,89.127,94.93,92.68,108.259,73.263,34.995,67.888,46.113,43.846,2.155,20.350935736403233,268.261,618.608,1748.131,294.702,2.321,31.584,11.850,2.665,12.57,325.549,1106.351,1743.071,2169.392,2942.255,3413.605,617.611,28.335,-2.189,
HFC_8.wav,86.976,70.57,81.78,105.737,70.566,35.171,64.711,102.882,19.144,0.000,--undefined--,239.836,319.325,377.483,323.969,1.552,61.800,4.188,14.758,16.62,326.640,1075.748,1737.014,2277.988,2962.708,3368.397,608.351,28.766,0.190,
HFC_9.wav,89.532,71.68,75.59,109.956,70.663,39.293,68.709,108.174,53.611,14.245,3.763368742074336,184.858,241.288,420.992,207.721,1.088,36.583,3.217,11.373,17.20,281.667,1081.219,1734.015,2274.136,2970.771,3351.430,613.953,28.504,-0.009,unvoiced
LFC_1.wav,77.144,97.97,70.50,99.809,70.498,29.311,15.669,48.389,44.888,4.779,9.39245880600671,219.258,589.312,2502.184,202.461,1.255,32.017,11.550,2.772,2.64,369.550,1063.758,1744.324,2239.844,2959.241,3386.788,603.448,29.000,-1.635,
