file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,Duration(s),Start
HFC_01.wav,94.528,97.08,104.11,107.152,82.789,24.364,53.495,81.749,27.696,0.849,32.61116970091547,324.393,448.618,1591.295,331.283,1.177,59.945,7.219,8.304,14.69,341.193,1091.098,1582.342,2111.211,2820.281,3270.120,585.785,29.874,-1.692,,1.177,10:00:06
HFC_02.wav,93.356,83.68,81.01,105.762,76.647,29.115,19.607,98.110,79.022,2.083,37.93320403376707,354.509,543.810,1348.282,363.300,1.200,64.028,7.083,9.040,14.34,379.441,1046.821,1542.135,2008.196,2683.582,3135.485,551.209,31.748,-1.328,,1.200,10:00:08
HFC_03.wav,95.121,90.83,75.94,105.467,75.938,29.529,15.716,95.023,65.169,3.057,21.314820142664214,339.002,566.729,1140.724,363.313,1.472,62.823,7.813,8.040,13.84,384.807,941.824,1551.487,2005.091,2638.211,3162.141,555.467,31.505,-0.935,,1.472,10:00:10
HFC_04.wav,91.806,80.19,88.70,105.090,77.894,27.196,20.462,105.049,75.829,3.663,20.699444705624757,346.474,497.616,1327.022,343.701,1.228,81.449,8.548,9.529,11.67,379.581,986.658,1560.059,2049.732,2653.735,3177.101,559.504,31.278,-1.413,,1.228,10:00:15
HFC_05.wav,94.306,79.61,88.91,99.406,79.607,19.799,11.802,54.526,43.733,4.152,10.532995908981219,357.569,512.216,1339.667,356.915,1.325,85.613,9.814,8.724,14.47,388.599,1006.224,1566.007,2022.963,2618.113,3174.688,557.218,31.406,-1.362,,1.325,10:00:16
HFC_06.wav,88.583,76.16,84.09,106.553,76.159,30.393,48.949,73.440,69.243,2.091,33.12178675726694,318.585,386.825,700.601,346.441,0.957,60.643,9.930,6.107,10.22,345.032,981.063,1568.223,2106.665,2755.127,3320.572,595.108,29.406,-0.863,,0.957,10:00:25
HFC_07.wav,88.255,77.00,78.63,106.696,76.991,29.705,32.599,62.802,59.574,3.450,17.266755849088405,328.306,394.537,889.665,338.266,1.449,51.314,11.386,4.507,11.98,350.545,954.999,1568.125,2020.297,2591.502,3211.620,572.215,30.583,-1.128,,1.449,10:00:27
HFC_08.wav,89.435,100.81,74.34,107.636,74.337,33.299,36.932,62.613,33.465,1.506,22.22755840592174,325.561,377.804,969.615,330.080,0.996,91.554,7.528,12.162,16.55,336.320,940.534,1644.272,2061.106,2819.467,3266.462,586.028,29.862,-1.596,,0.996,10:00:48
HFC_09.wav,89.857,71.48,79.99,108.130,71.476,36.654,51.829,112.922,103.906,2.524,41.1742546845527,332.634,715.471,1737.330,326.594,0.991,47.400,8.580,5.524,8.57,379.882,1044.902,1623.315,2090.656,2788.287,3209.158,565.855,30.927,-1.170,,0.991,10:01:00
HFC_10.wav,91.545,83.46,85.85,102.944,80.892,22.052,26.557,101.185,96.158,4.077,23.587555218651595,362.321,565.236,1255.592,362.725,1.104,57.416,9.965,5.762,11.24,383.579,1000.883,1577.614,2009.295,2715.364,3192.579,561.800,31.150,-1.400,,1.104,10:01:02
HFC_100.wav,91.206,80.03,91.21,103.311,80.034,23.277,9.835,87.535,79.758,4.374,18.23363869596296,313.979,486.854,1308.170,284.203,2.972,69.589,6.730,10.341,15.44,348.561,1034.466,1570.082,2066.232,2721.463,3211.139,572.516,30.567,-1.685,,2.972,10:11:28
HFC_101.wav,91.951,74.20,91.01,105.569,74.197,31.372,15.200,67.124,60.535,2.769,21.863244691558158,348.578,492.528,1424.456,345.830,1.806,70.764,10.245,6.907,14.39,374.949,998.458,1575.482,2065.683,2701.239,3205.198,566.050,30.916,-1.523,,1.806,10:11:32
HFC_102.wav,83.066,82.56,83.15,109.894,70.461,39.432,69.772,141.034,101.333,31.958,3.170779337049065,300.597,391.642,1337.855,304.170,1.987,64.319,6.039,10.650,17.64,342.731,1000.202,1637.001,2116.359,2704.135,3236.167,578.687,30.241,-1.851,unvoiced,1.987,10:11:38
HFC_103.wav,86.703,78.19,85.42,105.342,77.543,27.798,37.762,98.282,81.519,4.444,18.343253581530732,308.328,463.265,1272.705,331.615,0.900,70.835,8.333,8.501,10.25,347.611,966.769,1623.099,2125.560,2721.815,3221.953,574.868,30.442,-1.494,,0.900,10:11:55
HFC_104.wav,95.753,79.06,82.53,106.061,79.058,27.003,67.183,63.734,48.623,0.539,90.28142041085113,319.567,410.811,1331.771,317.119,0.928,72.116,8.079,8.927,11.31,344.743,1046.789,1646.819,2089.341,2748.210,3251.887,581.429,30.098,-1.698,,0.928,10:12:06
HFC_105.wav,96.905,86.80,104.27,107.733,82.975,24.758,76.476,150.176,94.786,3.680,25.755322691707036,322.240,447.587,1312.589,330.352,1.223,76.304,8.587,8.886,12.23,362.119,991.750,1534.138,2091.126,2751.249,3187.447,565.066,30.970,-1.487,,1.223,10:12:41
HFC_106.wav,88.009,80.88,86.67,106.468,80.458,26.010,36.978,90.399,66.362,4.542,14.609413744847277,299.400,444.664,1480.260,335.112,0.991,77.636,6.057,12.818,11.53,325.786,988.136,1659.186,2061.657,2799.540,3204.495,575.742,30.396,-1.748,,0.991,10:12:48
HFC_107.wav,94.309,89.48,89.48,104.399,77.172,27.227,14.196,106.285,83.280,2.775,30.01471547720223,335.118,589.168,1482.244,381.752,1.081,43.921,7.861,5.587,12.24,373.758,983.395,1614.208,2137.829,2639.915,3165.357,558.320,31.344,-1.500,,1.081,10:12:49
HFC_108.wav,90.052,107.58,74.98,107.583,74.980,32.602,5.786,80.039,52.410,4.344,12.06545304338212,356.630,521.370,1733.988,349.725,0.691,60.335,5.068,11.906,16.12,366.909,999.149,1739.115,2145.004,2781.678,3269.607,580.540,30.144,-2.014,,0.691,10:12:56
HFC_109.wav,81.770,96.90,96.48,104.591,71.302,33.289,15.006,60.846,38.745,2.219,17.458842422972758,353.366,760.302,1459.617,375.329,2.253,42.358,9.099,4.655,14.76,407.755,996.432,1697.986,2079.762,2666.729,3254.723,569.394,30.734,-0.963,,2.253,10:12:58
HFC_11.wav,89.964,82.92,81.92,109.038,77.140,31.898,30.300,73.665,63.787,4.433,14.388170722826173,331.916,427.317,1487.486,339.151,1.466,69.508,7.162,9.706,14.44,347.282,1059.803,1584.375,2067.928,2814.783,3260.739,582.691,30.033,-1.851,,1.466,10:01:04
HFC_110.wav,91.721,83.20,84.54,104.009,83.202,20.808,24.134,76.837,55.025,1.656,33.22534203730137,341.013,408.393,988.201,348.000,0.906,71.037,6.072,11.698,19.36,353.204,957.969,1562.929,2024.847,2579.634,3147.795,558.918,31.310,-1.792,,0.906,10:13:01
HFC_111.wav,91.266,77.41,79.78,101.021,77.410,23.611,16.907,67.306,48.135,2.609,18.451150678309354,319.645,427.172,1064.942,366.381,1.342,69.220,7.826,8.844,18.61,349.890,927.070,1566.985,1950.327,2588.407,3167.901,563.602,31.050,-1.681,,1.342,10:13:02
HFC_112.wav,92.505,77.85,94.89,104.942,77.852,27.089,20.895,78.792,59.603,2.977,20.01946133154136,326.856,398.752,700.983,363.875,1.511,70.002,4.962,14.107,19.05,358.378,909.095,1511.745,1895.435,2609.834,3211.381,570.601,30.669,-1.437,,1.511,10:13:05
HFC_113.wav,90.544,83.98,102.74,103.336,80.532,22.804,18.856,72.759,50.560,2.335,21.656714442119227,305.776,413.886,1051.734,329.573,1.285,67.356,5.837,11.541,17.52,330.863,964.516,1495.054,1948.312,2585.517,3153.164,564.460,31.003,-1.772,,1.285,10:13:08
HFC_114.wav,93.057,77.80,77.45,103.719,77.455,26.264,13.944,63.281,52.391,1.123,46.661376997480225,351.970,385.303,489.092,358.581,1.336,53.290,4.865,10.953,24.27,364.358,881.883,1470.036,1961.048,2623.572,3193.314,565.791,30.930,-1.690,,1.336,10:13:10
