file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment
HFC_01.wav,90.519,72.06,88.18,107.695,72.057,35.638,32.487,90.797,87.273,2.92,29.885649270068665,230.42,309.74,375.452,352.067,0.856,37.677,5.84,6.451,15.02,340.502,825.125,1659.988,2233.817,2910.808,3383.484,608.596,28.755,0.228,
HFC_02.wav,91.671,71.91,87.67,106.539,71.914,34.625,49.12,96.617,58.426,1.667,35.055462984378885,317.042,430.333,1357.385,362.615,0.9,41.731,6.667,6.26,12.64,371.966,1131.452,1812.742,2319.961,2869.784,3271.557,579.918,30.177,-2.062,
HFC_03.wav,95.261,87.76,94.24,103.922,86.272,17.65,21.002,64.232,50.139,2.605,19.245048588397033,337.295,476.752,1385.322,368.288,1.343,44.092,7.816,5.641,16.13,371.91,1070.058,1649.276,2171.431,2718.447,3266.201,578.858,30.232,-1.68,
HFC_04.wav,89.629,78.6,76.25,101.574,76.246,25.328,63.921,95.234,89.973,2.669,33.7081474605186,250.001,364.318,664.252,300.887,0.562,57.647,10.677,5.399,7.98,343.323,1164.967,1808.221,2305.717,2880.414,3329.937,597.323,29.297,-0.583,
HFC_05.wav,86.807,87.11,90.77,97.23,71.293,25.936,91.665,74.89,28.253,0.894,31.588481023907235,313.87,366.746,431.613,374.395,1.677,53.057,10.137,5.234,16.77,360.448,739.309,1596.281,2217.58,2865.178,3336.145,595.139,29.405,-0.193,
HFC_06.wav,92.565,89.18,82.27,108.003,78.395,29.608,35.292,52.158,51.333,2.867,17.906535422350952,268.165,322.884,454.617,359.88,1.919,39.867,8.079,4.935,18.29,344.117,850.821,1557.951,2216.8,2943.601,3514.112,633.999,27.603,0.107,zgomot de fundal
HFC_07.wav,93.307,82.63,100.14,108.518,77.201,31.317,39.816,71.908,69.704,2.712,25.705749681108443,274.899,439.906,2931.291,270.06,1.66,35.667,11.75,3.035,8.61,343.335,1076.811,1739.734,2292.674,3054.705,3513.186,633.97,27.604,-3.374,zgomot de fundal
HFC_08.wav,99.173,83.03,83.47,106.128,83.026,23.102,61.451,66.336,54.735,1.964,27.874697081435936,305.673,1094.35,3058.631,320.89,0.764,34.547,8.509,4.06,10.86,329.53,1300.107,1869.162,2342.115,3049.964,3391.054,612.305,28.581,-2.127,
HFC_09.wav,100.044,93.72,79.23,108.626,79.229,29.398,69.514,47.258,46.223,2.204,20.969868700535965,304.994,323.676,356.266,315.846,1.361,61.539,9.919,6.204,10.82,340.036,693.573,1592.407,2151.515,2833.774,3410.053,614.003,28.501,0.046,
HFC_10.wav,101.061,89.62,82.24,109.033,82.239,26.794,72.805,95.128,25.052,0.0,--undefined--,307.456,326.066,367.482,319.694,0.733,69.331,4.774,14.523,21.62,332.407,723.735,1582.696,2277.702,2732.278,3296.823,592.883,29.517,-0.613,
HFC_11.wav,101.307,90.57,96.63,105.739,90.567,15.172,70.579,25.952,25.035,1.553,16.119919681120553,305.753,311.812,320.793,298.772,0.966,38.014,6.73,5.649,23.02,308.636,576.094,1464.171,2049.889,2676.025,3277.656,593.804,29.471,-0.507,
HFC_12.wav,88.697,82.79,98.93,98.926,77.604,21.322,98.943,80.798,0.0,0.0,--undefined--,270.615,307.258,387.635,339.726,2.138,62.083,11.927,5.205,8.4,325.801,955.748,1662.785,2221.269,2902.35,3510.265,636.893,27.477,0.507,aici sunt 2 vaci deodata
HFC_13.wav,91.255,85.06,94.67,108.079,82.328,25.751,53.853,64.553,41.591,1.768,23.51852622336019,284.44,316.283,369.749,308.248,1.414,63.4,8.135,7.794,16.54,324.375,799.74,1544.653,2132.871,2737.577,3320.37,599.199,29.206,-0.007,
HFC_14.wav,88.415,102.77,74.51,104.635,73.805,30.83,62.871,64.483,62.907,2.744,22.922868363105852,293.66,326.512,355.38,327.071,1.822,56.56,7.684,7.361,18.28,325.396,860.374,1702.023,2235.679,2925.513,3367.976,608.516,28.758,-0.241,
HFC_15.wav,100.934,84.22,86.64,107.978,84.219,23.759,65.758,64.753,30.231,0.593,50.966389652892445,303.751,512.88,2881.067,314.419,0.843,45.952,8.897,5.165,12.01,317.55,1145.072,1997.713,2386.329,2915.675,3474.113,631.313,27.72,-2.813,
HFC_16.wav,94.225,83.56,93.17,107.698,77.187,30.51,61.618,60.291,57.775,3.48,16.602478092811456,291.349,312.346,343.343,306.418,1.58,70.323,7.276,9.665,13.76,313.756,736.034,1611.471,2172.815,2726.898,3376.261,612.501,28.571,0.221,
LFC_01.wav,91.134,75.15,88.48,96.111,75.153,20.958,39.845,34.993,33.675,3.941,8.545290726095141,282.356,690.864,6238.017,361.219,1.269,35.395,13.793,2.566,5.61,370.95,924.642,1695.593,2344.269,3085.205,3524.508,630.712,27.746,-3.894,zgomot de fundal
LFC_02.wav,85.484,83.57,83.55,86.912,83.548,3.364,16.452,17.728,17.241,8.76,1.9680205872753547,125.254,324.822,1729.446,60.397,1.141,55.606,12.703,4.378,7.76,331.519,1184.698,1882.958,2466.908,3136.478,3606.232,654.943,26.72,-3.212,
LFC_03.wav,84.35,79.26,96.13,96.256,75.33,20.925,31.503,84.247,24.043,0.489,49.18931644141455,166.299,321.639,871.582,197.013,1.023,43.714,12.22,3.577,-2.19,375.548,1099.251,1899.421,2398.502,3105.113,3726.132,670.117,26.115,-0.877,
LFC_04.wav,84.388,75.84,83.1,89.314,75.557,13.757,32.876,40.166,38.63,2.935,13.160912940455882,249.951,270.824,325.307,252.101,0.852,42.782,4.696,9.11,14.23,283.692,876.065,1621.718,2256.331,2888.096,3361.076,615.477,28.433,0.419,
