file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment
HFC_01.wav,89.935,78.63,101.83,106.495,72.749,33.746,24.034,119.955,112.944,2.449,46.11488719783757,172.275,290.232,381.049,339.096,0.817,39.951,7.348,5.437,10.89,320.53,1021.834,1736.178,2306.685,2930.341,3460.13,627.92,27.87,0.556,
HFC_02.wav,89.774,75.22,85.39,105.403,75.219,30.184,24.584,71.811,64.119,1.825,35.131620091882255,281.7,344.013,504.17,327.91,1.37,63.488,8.396,7.562,8.59,370.724,1077.849,1661.533,2127.941,2881.21,3399.464,605.748,28.89,0.284,
HFC_03.wav,95.938,103.56,88.11,106.014,88.115,17.899,9.227,47.155,36.785,3.844,9.5687763826991,328.102,426.94,988.284,364.763,1.04,52.328,8.169,6.406,11.55,388.563,1014.427,1694.33,2358.893,2934.151,3489.736,620.235,28.215,-1.125,
HFC_04.wav,99.636,86.55,78.61,107.954,78.607,29.347,77.213,91.843,87.227,4.187,20.832356017839864,295.082,343.148,601.671,312.895,0.597,43.472,9.212,4.719,10.28,314.712,1064.225,1688.328,2294.612,2925.892,3478.25,632.707,27.659,-0.242,
LFC_01.wav,79.564,91.88,75.55,98.641,72.785,25.856,8.657,93.536,89.149,6.82,13.072419675506907,281.742,428.043,1623.777,356.187,0.733,45.784,15.003,3.052,4.92,367.692,1095.596,1603.918,2207.852,2919.376,3451.993,616.86,28.369,-1.733,
LFC_02.wav,78.636,72.09,71.8,90.168,71.804,18.364,5.704,58.186,56.085,4.329,12.955355957512191,279.536,385.129,617.969,365.3,1.501,46.491,12.321,3.773,8.32,373.4,1009.408,1546.232,2020.929,2730.834,3261.434,577.607,30.297,0.017,
LFC_03.wav,80.805,77.91,78.14,92.823,75.648,17.175,80.119,87.436,81.86,2.895,28.273087408130028,324.665,389.819,658.847,361.34,0.518,29.033,6.756,4.297,8.91,369.321,889.311,1654.365,2231.615,2939.697,3471.255,620.387,28.208,-0.692,
