file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment
HFC_01.wav,91.73,102.31,89.17,102.315,86.605,15.71,15.973,47.366,20.19,1.773,11.390656558764896,341.711,429.053,1576.599,358.391,1.128,51.434,5.761,8.928,18.89,354.446,1205.586,1623.496,2274.86,2796.411,3283.715,585.854,29.871,-2.14,
HFC_02.wav,94.91,91.19,86.07,102.888,79.642,23.246,49.496,110.844,104.341,2.847,36.648068842392775,257.839,358.027,907.498,310.981,0.527,50.953,10.439,4.881,6.0,334.767,1037.387,1735.36,2238.889,2917.422,3399.467,612.94,28.551,-1.334,
HFC_03.wav,96.542,79.39,81.15,104.119,79.391,24.728,72.127,53.961,19.789,0.401,49.346974004653646,324.925,1174.428,2602.88,315.18,1.247,41.708,9.624,4.334,9.65,357.237,1238.121,1936.938,2400.868,2914.019,3386.819,605.916,28.882,-2.008,
HFC_04.wav,88.777,105.93,84.27,105.998,82.01,23.988,3.897,83.162,77.836,3.078,25.287818624477907,266.773,374.798,615.925,353.925,0.65,44.218,8.464,5.224,9.19,353.26,810.36,1562.816,2083.854,2786.047,3286.302,586.608,29.833,0.104,
HFC_05.wav,94.732,84.51,92.9,102.311,84.512,17.799,8.776,55.827,54.616,3.137,17.4079014059999,329.294,384.014,446.439,370.669,1.594,49.274,10.04,4.908,15.72,370.216,793.171,1429.641,2034.949,2777.988,3373.5,600.657,29.135,-0.291,
HFC_06.wav,93.338,90.17,83.44,106.07,82.259,23.811,81.894,64.435,62.815,4.194,14.97682586278479,332.749,376.756,456.131,357.106,1.55,60.906,10.969,5.552,14.21,361.494,748.681,1587.687,2131.31,2813.469,3349.341,597.569,29.285,-0.809,
HFC_07.wav,88.284,88.71,88.48,104.0,78.519,25.481,13.139,129.815,125.141,6.269,19.96153926899645,314.328,427.784,1220.358,344.44,0.957,51.425,9.926,5.181,9.22,364.08,1014.738,1603.406,2232.774,2840.675,3311.5,589.484,29.687,-1.647,
HFC_08.wav,94.159,93.6,87.04,101.495,82.553,18.941,9.579,60.638,54.124,3.559,15.20774325531605,326.614,412.02,699.611,386.322,1.124,38.807,8.897,4.362,13.43,357.626,885.378,1609.302,2230.514,2810.949,3302.432,588.961,29.713,-0.923,
HFC_09.wav,89.234,95.09,77.85,105.181,73.074,32.107,20.684,104.94,100.913,2.997,33.6714591831704,302.947,446.926,2380.702,355.552,0.834,55.986,12.587,4.448,6.91,366.224,901.254,1598.192,2117.032,2842.337,3379.854,602.726,29.035,-2.591,
HFC_10.wav,90.313,78.83,91.42,106.707,77.405,29.302,30.761,80.766,78.556,1.83,42.93778574813263,331.601,363.091,398.415,351.82,1.093,65.819,11.892,5.535,11.5,354.905,815.091,1595.335,2132.294,2853.859,3381.322,605.283,28.912,-0.28,
HFC_100.wav,78.822,73.25,84.91,86.466,71.996,14.47,57.677,95.451,91.506,3.754,24.37266751232906,280.167,369.552,762.721,342.855,0.799,59.042,12.515,4.718,5.45,357.043,955.972,1695.208,2190.487,2791.592,3267.469,582.085,30.064,-0.823,
HFC_101.wav,91.662,87.97,84.72,106.57,84.519,22.051,42.535,80.525,45.004,1.574,28.583752207925,339.216,519.711,2623.181,335.134,0.953,42.172,7.348,5.74,16.03,359.56,1184.236,1885.69,2380.899,2907.72,3377.917,603.671,28.989,-2.408,
HFC_102.wav,88.256,72.69,88.64,102.699,72.689,30.01,65.903,84.362,66.675,2.778,24.003735454431297,325.891,427.568,903.532,392.544,0.9,47.3,5.0,9.46,8.62,363.088,968.907,1597.847,2204.444,2758.99,3259.287,579.24,30.212,-1.149,
HFC_103.wav,95.221,104.98,90.62,104.977,79.028,25.95,11.169,79.377,61.144,3.097,19.745129857252067,370.629,781.26,2166.441,372.342,1.453,58.892,11.699,5.034,9.41,398.833,1127.888,1771.368,2377.852,2875.03,3359.133,592.06,29.558,-1.772,
